type;name;01.01.2015;01.02.2015;01.03.2015;01.04.2015;01.05.2015;01.06.2015;01.07.2015;01.08.2015;01.09.2015;01.10.2015;01.11.2015;01.12.2015;01.01.2016;01.02.2016;01.03.2016;01.04.2016;01.05.2016;01.06.2016;01.07.2016;01.08.2016;01.09.2016;01.10.2016;01.11.2016;01.12.2016;01.01.2017;01.02.2017;01.03.2017;01.04.2017;01.05.2017;01.06.2017;01.07.2017;01.08.2017;01.09.2017;01.10.2017;01.11.2017;01.12.2017;01.01.2018;01.02.2018;01.03.2018;01.04.2018;01.05.2018;01.06.2018;01.07.2018;01.08.2018;01.09.2018;01.10.2018;01.11.2018;01.12.2018;01.01.2019;01.02.2019;01.03.2019;01.04.2019;01.05.2019;01.06.2019;01.07.2019;01.08.2019;01.09.2019;01.10.2019;01.11.2019;01.12.2019;01.01.2020;01.02.2020;01.03.2020;01.04.2020;01.05.2020;01.06.2020;01.07.2020;01.08.2020
G;1;49.5756;38.6908;42.9533;44.9974;48.1149;47.2048;48.203;43.3622;40.2462;44.6532;44.6093;39.1726;39.0771;37.2079;37.2295;40.4171;41.0959;51.0986;39.2384;31.35225;36.8203;32.56935;34.8813;36.6375;36.7202;24.7518;21.9898;32.013;34.58725;35.5384;35.64185;34.1109;39.58725;42.0391;39.84755;41.08615;44.81675;43.10795;43.7582;44.3856;60.81925;60.73105;61.9594;61.9623;60.0002;62.14985;62.2307;61.629;62.3355;62.9574;63.0137;64.713;62.8189;61.4828;62.4696;61.0538;59.0877;58.8336;57.9348;56.9819;57.8517;56.1367;53.3178;51.8828;65.3522;58.9065;53.1015;55.9861
G;2;83.7923;82.9949;83.0038;83.1244;87.4652;87.4899;87.1727;87.1973;87.0204;86.4749;86.0524;85.838;84.6752;83.7742;83.777;83.7228;88.1601;88.1411;87.8694;87.8206;87.7936;87.77535;87.75985;87.56885;87.4731;87.39835;87.3898;87.21115;88.747;88.58;88.3944;88.3394;88.31325;88.12025;88.0835;88.29785;87.6394;87.6592;87.6473;88.64405;88.59735;88.4637;88.37965;88.3387;88.36265;88.20995;88.19905;88.1729;87.7835;87.8723;87.8264;87.6408;88.8043;88.7675;88.7141;88.6783;88.1734;88.1572;88.2756;88.478;87.839;87.7935;87.5779;87.4464;87.4139;87.277;87.379;87.5647
G;3;48.1006;43.0052;48.6899;50.7389;53.395;53.3328;52.0302;50.812;48.9592;49.0409;49.7509;50.3151;47.9367;46.1618;48.2152;54.7439;55.4312;56.5056;56.9287;56.53825;58.519;58.8873;58.30485;58.73515;60.24265;59.8936;62.68995;67.33805;66.59275;68.6908;67.428;67.6472;69.37575;69.45945;68.9132;70.52175;70.47275;70.7976;72.7956;76.54325;74.84195;78.6755;55.72055;55.66705;53.59815;54.3564;53.67985;53.5317;52.787;53.5562;52.6308;54.3538;58.1993;58.1375;58.4473;57.9668;57.0197;57.7454;57.5541;56.9863;57.8712;57.3226;57.6926;54.1317;58.5091;60.6459;60.8416;59.5355
G;4;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;99.153;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;98.99155;98.73755;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;97.9169;95.8938;100;96.2817;94.3624;92.5424;100;100
G;5;55.9436;47.5503;51.0593;54.0577;56.6783;55.2251;51.9799;51.9996;46.3131;47.0105;48.1279;47.6338;46.8482;41.4547;42.2834;53.1529;53.5514;52.9771;53.7429;53.13715;53.3252;53.7796;53.6723;52.9382;52.88135;52.84995;53.67455;58.9754;58.18265;58.55455;57.51075;57.3774;57.67355;57.85015;57.0586;56.8984;57.50075;57.77215;57.70935;60.1288;57.56725;58.0473;58.0321;58.02625;56.2263;57.119;57.3747;62.5375;62.6533;63.5488;75.923;79.334;78.6344;79.5058;80.7232;79.6724;79.6288;80.9701;78.889;79.2395;80.7891;79.2843;79.3518;100;96.2165;95.9207;96.3019;77.3278
G;6;92.8772;85.8931;86.4887;87.3839;87.2489;87.6398;87.5159;85.6949;84.7438;84.7834;84.5899;85.2493;87.2077;86.206;85.1016;88.3916;86.2721;87.0349;86.6005;86.00915;83.654;81.4182;78.7904;80.9412;79.7067;77.6062;79.41395;83.588;84.1498;83.6495;81.9592;80.64205;79.1764;78.7751;77.4884;79.50675;82.1457;81.5164;83.25765;88.8135;86.9851;90.37575;90.326;87.76075;87.40975;86.661;83.5772;81.71265;83.00075;81.0076;82.2611;89.4109;86.0645;87.4875;85.946;87.5573;85.5445;84.7056;84.2576;85.6675;86.5769;86.7016;86.9168;89.9242;88.2091;88.2788;86.8271;84.9245
G;7;88.4238;88.3423;88.1737;88.0527;90.1399;89.9632;89.6285;90.2148;89.4906;92.5221;92.5963;91.9629;86.7047;87.1191;87.6515;87.7696;87.3351;92.4161;92.2637;91.9666;91.9335;90.5441;90.1997;91.91415;83.07485;82.9954;83.2811;85.00835;93.6757;94.01955;93.8885;93.78935;93.73005;94.5961;94.3254;94.34555;93.6918;94.74075;95.11605;95.12455;95.59245;95.273;95.00315;94.78405;95.48175;95.08315;94.7869;94.8488;94.74675;95.2183;95.1995;94.8718;96.6228;96.3625;96.363;96.2022;95.408;95.5821;95.0051;95.1306;95.2848;95.4293;95.5989;95.3224;97.9891;98.0009;97.9943;97.9948
G;8;91.144;90.6449;90.658;90.4185;89.9401;98.2604;97.8871;97.9453;97.2864;96.3332;97.9042;98.4586;97.3496;95.4916;95.2354;94.5822;94.3553;94.5849;94.0328;93.55625;93.1098;92.7654;92.3575;91.78205;91.3079;90.8007;90.1982;89.5386;93.34705;92.7328;92.21045;91.16285;91.0058;89.89875;93.6013;92.4442;89.7643;88.8985;88.0709;93.90105;93.2896;92.75735;92.14325;91.71515;91.37585;90.3544;91.0547;90.10325;88.9784;87.8833;87.5455;96.9955;96.4716;95.883;94.681;93.6345;92.4171;91.7342;90.5499;89.2941;88.1005;87.384;86.7838;94.1019;95.6004;95.3372;93.3247;92.4177
G;9;100;86.2776;87.8443;100;100;100;100;100;100;100;99.4782;96.5843;98.154;81.636;82.3806;83.1049;100;100;95.4303;95.81095;93.87125;92.52975;93.6828;95.1936;91.9138;88.83605;87.80905;86.15995;96.4064;94.6035;95.4156;94.8254;100;100;100;100;100;97.00455;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;99.6158;100;100;96.7271;100;100;96.0951;94.5687;93.9678;94.2395;96.8563;93.7475;94.419;92.311;94.8355
G;10;87.4294;87.4959;87.2869;86.8757;100;100;100;100;100;100;99.2841;97.2229;98.9075;93.2342;90.2595;86.9411;84.8031;88.415;80.8841;79.0314;76.32775;73.5369;71.74855;70.2064;69.82185;69.0435;68.54365;67.2813;94.12995;92.2685;88.91505;93.6342;92.96295;91.5127;87.9682;86.43105;96.70845;95.01535;94.7101;99.81055;95.90805;89.56725;93.06335;91.40095;88.862;89.53435;86.46395;83.99555;85.25055;86.0744;84.2251;98.1293;94.4885;93.8577;93.4503;92.1419;89.3794;89.7227;87.8193;85.5411;88.2692;86.9625;85.9907;86.8877;99.1806;98.5346;100;98.9931
