type;name;01.01.2015
G;1;7.5
G;2;7.5
G;3;7.5
G;4;5.0
G;5;5.0
G;6;10.0
G;7;5.0
G;8;7.5
G;9;7.5
G;10;10.0
G;11;10.0
G;12;7.5
G;13;2.5
G;14;7.5
G;15;5.0
G;16;5.0
G;17;5.0
G;18;5.0
G;19;10.0
G;20;5.0
G;21;7.5
G;22;5.0
G;23;5.0
G;24;7.5
G;25;10.0
G;26;7.5
G;27;5.0
G;28;7.5
G;29;5.0
G;30;2.5
G;31;7.5
G;32;7.5
G;33;2.5
G;34;10.0
G;35;7.5
G;36;5.0
G;37;10.0
G;38;7.5
G;39;5.0
G;40;10.0
G;41;5.0
G;42;10.0
G;43;10.0
G;44;7.5
G;45;2.5
G;46;5.0
G;47;5.0
G;48;5.0
G;49;7.5
G;50;10.0
G;51;5.0
G;52;7.5
G;53;7.5
G;54;7.5
G;55;7.5
G;56;10.0
G;57;10.0
G;58;5.0
G;59;7.5
G;60;10.0
G;61;7.5
G;62;5.0
G;63;5.0
G;64;7.5
G;65;5.0
G;66;7.5
G;67;7.5
G;68;5.0
G;69;5.0
G;70;10.0
G;71;5.0
G;72;2.5
G;73;2.5
G;74;10.0
G;75;10.0
G;76;5.0
G;77;5.0
G;78;10.0
G;79;5.0
G;80;7.5
G;81;5.0
G;82;5.0
G;83;5.0
G;84;10.0
G;85;5.0
G;86;2.5
G;87;5.0
G;88;7.5
G;89;7.5
G;90;7.5
G;91;5.0
G;92;10.0
G;93;7.5
G;94;10.0
G;95;5.0
G;96;5.0
G;97;5.0
G;98;7.5
G;99;5.0
G;100;5.0
G;101;7.5
G;102;7.5
G;103;2.5
G;104;7.5
G;105;7.5
G;106;7.5
G;107;7.5
G;108;5.0
G;109;10.0
G;110;5.0
G;111;5.0
G;112;7.5
G;113;5.0
G;114;10.0
G;115;7.5
G;116;7.5
G;117;7.5
G;118;10.0
G;119;5.0
G;120;5.0
G;121;5.0
G;122;0.
G;123;7.5
G;124;7.5
G;125;7.5
G;126;10.0
G;127;5.0
G;128;7.5
G;129;5.0
G;130;5.0
G;131;7.5
G;132;5.0
G;133;7.5
G;134;10.0
G;135;10.0
G;136;5.0
G;137;2.5
G;138;2.5
G;139;7.5
G;140;7.5
G;141;10.0
G;142;7.5
G;143;10.0
G;144;5.0
G;145;7.5
G;146;7.5
G;147;5.0
G;148;5.0
G;149;7.5
G;150;5.0
G;151;2.5
G;152;5.0
G;153;5.0
G;154;5.0
G;155;10.0
G;156;7.5
G;157;5.0
G;158;7.5
G;159;5.0
G;160;5.0
G;161;2.5
G;162;7.5
G;163;5.0
G;164;5.0
G;165;7.5
G;166;10.0
G;167;7.5
G;168;5.0
G;169;2.5
G;170;10.0
G;171;7.5
G;172;5.0
G;173;7.5
G;174;7.5
G;175;5.0
G;176;5.0
G;177;7.5
G;178;10.0
G;179;7.5
G;180;10.0
G;181;5.0
G;182;10.0
G;183;5.0
G;184;7.5
G;185;7.5
G;186;5.0
G;187;2.5
G;188;10.0
G;189;5.0
G;190;2.5
G;191;7.5
G;192;7.5
G;193;7.5
G;194;7.5
G;195;5.0
G;196;5.0
G;197;5.0
G;198;5.0
G;199;10.0
G;200;5.0
G;201;5.0
G;202;5.0
G;203;2.5
G;204;5.0
G;205;5.0
G;206;7.5
G;207;10.0
G;208;7.5
G;209;7.5
G;210;7.5
G;211;7.5
G;212;5.0
G;213;7.5
G;214;5.0
G;215;10.0
G;216;5.0
G;217;7.5
G;218;5.0
G;219;5.0
G;220;5.0
G;221;5.0
G;222;5.0
G;223;7.5
G;224;7.5
G;225;10.0
G;226;2.5
G;227;7.5
G;228;5.0
G;229;5.0
G;230;7.5
G;231;5.0
G;232;7.5
G;233;5.0
G;234;7.5
G;235;5.0
G;236;5.0
G;237;2.5
G;238;5.0
G;239;10.0
G;240;5.0
G;241;7.5
G;242;5.0
G;243;7.5
G;244;5.0
G;245;10.0
G;246;10.0
G;247;5.0
G;248;10.0
G;249;7.5
G;250;10.0
G;251;5.0
G;252;10.0
G;253;5.0
G;254;7.5
G;255;2.5
G;256;10.0
G;257;7.5
G;258;5.0
G;259;7.5
G;260;7.5
G;261;2.5
G;262;7.5
G;263;10.0
G;264;5.0
G;265;5.0
G;266;5.0
G;267;7.5
G;268;5.0
G;269;10.0
G;270;10.0
G;271;7.5
G;272;10.0
G;273;5.0
G;274;5.0
G;275;2.5
G;276;7.5
G;277;7.5
G;278;10.0
G;279;5.0
G;280;10.0
G;281;5.0
G;282;7.5
G;283;2.5
G;284;10.0
G;285;7.5
G;286;5.0
G;287;5.0
G;288;7.5
G;289;7.5
G;290;2.5
G;291;5.0
G;292;7.5
G;293;7.5
G;294;2.5
G;295;5.0
G;296;2.5
G;297;7.5
G;298;2.5
G;299;5.0
G;300;10.0
G;301;7.5
G;302;10.0
G;303;2.5
G;304;7.5
G;305;7.5
G;306;5.0
G;307;5.0
G;308;5.0
G;309;7.5
G;310;10.0
G;311;7.5
G;312;5.0
G;313;7.5
G;314;7.5
G;315;5.0
G;316;5.0
G;317;7.5
G;318;5.0
G;319;5.0
G;320;5.0
G;321;7.5
G;322;7.5
G;323;10.0
G;324;5.0
G;325;10.0
G;326;10.0
G;327;7.5
G;328;2.5
G;329;7.5
G;330;7.5
G;331;7.5
G;332;5.0
G;333;7.5
G;334;5.0
G;335;7.5
G;336;7.5
G;337;0.
G;338;10.0
G;339;10.0
G;340;5.0
G;341;5.0
G;342;10.0
G;343;5.0
G;344;5.0
G;345;7.5
G;346;10.0
G;347;10.0
G;348;7.5
G;349;2.5
G;350;7.5
G;351;7.5
G;352;10.0
G;353;5.0
G;354;5.0
G;355;10.0
G;356;7.5
G;357;5.0
G;358;0.
D;1.15;2.5
D;2.15;2.5
D;3.15;2.5
D;4.15;2.5
D;5.15;2.5
D;6.15;2.5
D;7.15;2.5
D;8.15;2.5
D;9.15;2.5
D;10.15;2.5
D;11.15;2.5
D;12.15;2.5
D;13.15;2.5
D;14.15;2.5
D;15.15;7.5
D;16.15;2.5
D;17.15;2.5
D;18.15;2.5
D;19.15;2.5
D;20.15;2.5
D;21.15;2.5
D;22.15;2.5
D;23.15;2.5
D;24.15;2.5
D;25.15;2.5
D;26.15;2.5
D;27.15;2.5
D;28.15;2.5
D;29.15;2.5
D;30.15;2.5
D;31.15;2.5
D;32.15;2.5
D;33.15;2.5
D;34.15;2.5
D;35.15;2.5
D;36.15;2.5
D;37.15;2.5
D;38.15;2.5
D;39.15;2.5
D;40.15;2.5
D;41.15;2.5
D;42.15;2.5
D;43.15;2.5
D;44.15;2.5
D;45.15;2.5
D;46.15;2.5
D;47.15;2.5
D;48.15;2.5
D;49.15;2.5
D;50.15;2.5
D;51.15;2.5
D;52.15;2.5
D;53.15;2.5
D;54.15;2.5
D;55.15;2.5
D;56.15;2.5
D;57.15;2.5
D;58.15;2.5
D;59.15;2.5
D;60.15;2.5
D;61.15;2.5
D;62.15;5.0
D;63.15;2.5
D;64.15;2.5
D;65.15;2.5
D;66.15;2.5
D;67.15;2.5
D;68.15;2.5
D;1.16;2.5
D;2.16;2.5
D;3.16;2.5
D;4.16;2.5
D;5.16;2.5
D;6.16;2.5
D;7.16;2.5
D;8.16;2.5
D;9.16;2.5
D;10.16;2.5
D;11.16;2.5
D;12.16;2.5
D;13.16;2.5
D;14.16;2.5
D;15.16;2.5
D;16.16;2.5
D;17.16;2.5
D;18.16;2.5
D;19.16;2.5
D;20.16;2.5
D;21.16;2.5
D;22.16;2.5
D;23.16;10.0
D;24.16;2.5
D;25.16;2.5
D;26.16;2.5
D;27.16;7.5
D;28.16;2.5
D;29.16;2.5
D;30.16;2.5
D;31.16;2.5
D;32.16;2.5
D;33.16;2.5
D;34.16;2.5
D;35.16;2.5
D;36.16;2.5
D;37.16;2.5
D;38.16;2.5
D;39.16;2.5
D;40.16;2.5
D;41.16;2.5
D;42.16;2.5
D;43.16;2.5
D;44.16;2.5
D;45.16;2.5
D;46.16;2.5
D;47.16;2.5
D;48.16;2.5
D;49.16;2.5
D;50.16;2.5
D;51.16;2.5
D;52.16;2.5
D;53.16;2.5
D;54.16;2.5
D;55.16;2.5
D;56.16;2.5
D;57.16;2.5
D;58.16;2.5
D;59.16;2.5
D;60.16;2.5
D;61.16;7.5
D;62.16;2.5
D;63.16;2.5
D;64.16;2.5
D;65.16;2.5
D;66.16;2.5
D;67.16;2.5
D;68.16;2.5
D;69.16;2.5
D;70.16;2.5
D;71.16;2.5
D;72.16;2.5
D;73.16;7.5
D;74.16;2.5
D;75.16;2.5
D;76.16;2.5
D;77.16;7.5
D;78.16;2.5
D;79.16;2.5
D;80.16;2.5
D;81.16;2.5
D;82.16;0
D;83.16;2.5
D;84.16;2.5
D;1.17;2.5
D;2.17;2.5
D;3.17;2.5
D;4.17;2.5
D;5.17;2.5
D;6.17;2.5
D;7.17;2.5
D;8.17;2.5
D;9.17;5.0
D;10.17;2.5
D;11.17;2.5
D;12.17;2.5
D;13.17;2.5
D;14.17;2.5
D;15.17;2.5
D;16.17;2.5
D;17.17;2.5
D;18.17;2.5
D;19.17;2.5
D;20.17;2.5
D;21.17;2.5
D;22.17;2.5
D;23.17;2.5
D;24.17;2.5
D;25.17;2.5
D;26.17;2.5
D;27.17;2.5
D;28.17;2.5
D;29.17;5.0
D;30.17;2.5
D;31.17;2.5
D;32.17;5.0
D;33.17;2.5
D;34.17;2.5
D;35.17;2.5
D;36.17;2.5
D;37.17;2.5
D;38.17;2.5
D;39.17;2.5
D;40.17;2.5
D;41.17;2.5
D;1.18;2.5
D;2.18;2.5
D;3.18;2.5
D;4.18;2.5
D;5.18;2.5
D;6.18;5.0
D;7.18;5.0
D;8.18;2.5
D;9.18;2.5
D;10.18;5.0
D;11.18;2.5
D;12.18;2.5
D;13.18;2.5
D;14.18;2.5
D;15.18;2.5
D;16.18;2.5
D;17.18;2.5
D;18.18;2.5
D;19.18;5.0
D;20.18;2.5
D;21.18;2.5
D;22.18;2.5
D;23.18;2.5
D;24.18;2.5
D;25.18;2.5
D;26.18;2.5
D;27.18;2.5
D;28.18;2.5
D;29.18;0
D;30.18;0
D;31.18;0
D;32.18;0
D;33.18;0
D;34.18;0
D;35.18;0
D;36.18;0
D;37.18;0
D;38.18;0
D;39.18;0
D;40.18;0
D;41.18;0
D;42.18;0
D;43.18;0
D;44.18;0
D;45.18;0
D;46.18;0
D;47.18;0
D;1.19;0
D;2.19;0
D;3.19;0
D;4.19;0
D;5.19;0
D;6.19;0
D;7.19;0
D;8.19;0
D;9.19;0
D;10.19;0
D;11.19;0
D;12.19;0
D;13.19;0
D;14.19;0
D;15.19;0
D;16.19;0
D;17.19;0
D;18.19;0
D;19.19;0
D;20.19;0
D;21.19;0
D;22.19;0
D;23.19;0
D;1.2;0
D;2.2;0
D;3.2;0
D;4.2;0
D;5.2;0
D;6.2;0
D;7.2;0
D;8.2;0
D;9.2;0
D;10.2;0
D;11.2;0
D;12.2;0
