name;01.01.2015,,
Õ1;7,5,
Õ2;7,5,
Õ3;7,5,
Õ4;5,0,
Õ5;5,0,
Õ6;10,0,
Õ7;5,0,
Õ8;7,5,
Õ9;7,5,
Õ10;10,0,
Õ11;10,0,
Õ12;7,5,
Õ13;2,5,
Õ14;7,5,
Õ15;5,0,
Õ16;5,0,
Õ17;5,0,
Õ18;5,0,
Õ19;10,0,
Õ20;5,0,
Õ21;7,5,
Õ22;5,0,
Õ23;5,0,
Õ24;7,5,
Õ25;10,0,
Õ26;7,5,
Õ27;5,0,
Õ28;7,5,
Õ29;5,0,
Õ30;2,5,
Õ31;7,5,
Õ32;7,5,
Õ33;2,5,
Õ34;10,0,
Õ35;7,5,
Õ36;5,0,
Õ37;10,0,
Õ38;7,5,
Õ39;5,0,
Õ40;10,0,
Õ41;5,0,
Õ42;10,0,
Õ43;10,0,
Õ44;7,5,
Õ45;2,5,
Õ46;5,0,
Õ47;5,0,
Õ48;5,0,
Õ49;7,5,
Õ50;10,0,
Õ51;5,0,
Õ52;7,5,
Õ53;7,5,
Õ54;7,5,
Õ55;7,5,
Õ56;10,0,
Õ57;10,0,
Õ58;5,0,
Õ59;7,5,
Õ60;10,0,
Õ61;7,5,
Õ62;5,0,
Õ63;5,0,
Õ64;7,5,
Õ65;5,0,
Õ66;7,5,
Õ67;7,5,
Õ68;5,0,
Õ69;5,0,
Õ70;10,0,
Õ71;5,0,
Õ72;2,5,
Õ73;2,5,
Õ74;10,0,
Õ75;10,0,
Õ76;5,0,
Õ77;5,0,
Õ78;10,0,
Õ79;5,0,
Õ80;7,5,
Õ81;5,0,
Õ82;5,0,
Õ83;5,0,
Õ84;10,0,
Õ85;5,0,
Õ86;2,5,
Õ87;5,0,
Õ88;7,5,
Õ89;7,5,
Õ90;7,5,
Õ91;5,0,
Õ92;10,0,
Õ93;7,5,
Õ94;10,0,
Õ95;5,0,
Õ96;5,0,
Õ97;5,0,
Õ98;7,5,
Õ99;5,0,
Õ100;5,0,
Õ101;7,5,
Õ102;7,5,
Õ103;2,5,
Õ104;7,5,
Õ105;7,5,
Õ106;7,5,
Õ107;7,5,
Õ108;5,0,
Õ109;10,0,
Õ110;5,0,
Õ111;5,0,
Õ112;7,5,
Õ113;5,0,
Õ114;10,0,
Õ115;7,5,
Õ116;7,5,
Õ117;7,5,
Õ118;10,0,
Õ119;5,0,
Õ120;5,0,
Õ121;5,0,
Õ122;0,,
Õ123;7,5,
Õ124;7,5,
Õ125;7,5,
Õ126;10,0,
Õ127;5,0,
Õ128;7,5,
Õ129;5,0,
Õ130;5,0,
Õ131;7,5,
Õ132;5,0,
Õ133;7,5,
Õ134;10,0,
Õ135;10,0,
Õ136;5,0,
Õ137;2,5,
Õ138;2,5,
Õ139;7,5,
Õ140;7,5,
Õ141;10,0,
Õ142;7,5,
Õ143;10,0,
Õ144;5,0,
Õ145;7,5,
Õ146;7,5,
Õ147;5,0,
Õ148;5,0,
Õ149;7,5,
Õ150;5,0,
Õ151;2,5,
Õ152;5,0,
Õ153;5,0,
Õ154;5,0,
Õ155;10,0,
Õ156;7,5,
Õ157;5,0,
Õ158;7,5,
Õ159;5,0,
Õ160;5,0,
Õ161;2,5,
Õ162;7,5,
Õ163;5,0,
Õ164;5,0,
Õ165;7,5,
Õ166;10,0,
Õ167;7,5,
Õ168;5,0,
Õ169;2,5,
Õ170;10,0,
Õ171;7,5,
Õ172;5,0,
Õ173;7,5,
Õ174;7,5,
Õ175;5,0,
Õ176;5,0,
Õ177;7,5,
Õ178;10,0,
Õ179;7,5,
Õ180;10,0,
Õ181;5,0,
Õ182;10,0,
Õ183;5,0,
Õ184;7,5,
Õ185;7,5,
Õ186;5,0,
Õ187;2,5,
Õ188;10,0,
Õ189;5,0,
Õ190;2,5,
Õ191;7,5,
Õ192;7,5,
Õ193;7,5,
Õ194;7,5,
Õ195;5,0,
Õ196;5,0,
Õ197;5,0,
Õ198;5,0,
Õ199;10,0,
Õ200;5,0,
Õ201;5,0,
Õ202;5,0,
Õ203;2,5,
Õ204;5,0,
Õ205;5,0,
Õ206;7,5,
Õ207;10,0,
Õ208;7,5,
Õ209;7,5,
Õ210;7,5,
Õ211;7,5,
Õ212;5,0,
Õ213;7,5,
Õ214;5,0,
Õ215;10,0,
Õ216;5,0,
Õ217;7,5,
Õ218;5,0,
Õ219;5,0,
Õ220;5,0,
Õ221;5,0,
Õ222;5,0,
Õ223;7,5,
Õ224;7,5,
Õ225;10,0,
Õ226;2,5,
Õ227;7,5,
Õ228;5,0,
Õ229;5,0,
Õ230;7,5,
Õ231;5,0,
Õ232;7,5,
Õ233;5,0,
Õ234;7,5,
Õ235;5,0,
Õ236;5,0,
Õ237;2,5,
Õ238;5,0,
Õ239;10,0,
Õ240;5,0,
Õ241;7,5,
Õ242;5,0,
Õ243;7,5,
Õ244;5,0,
Õ245;10,0,
Õ246;10,0,
Õ247;5,0,
Õ248;10,0,
Õ249;7,5,
Õ250;10,0,
Õ251;5,0,
Õ252;10,0,
Õ253;5,0,
Õ254;7,5,
Õ255;2,5,
Õ256;10,0,
Õ257;7,5,
Õ258;5,0,
Õ259;7,5,
Õ260;7,5,
Õ261;2,5,
Õ262;7,5,
Õ263;10,0,
Õ264;5,0,
Õ265;5,0,
Õ266;5,0,
Õ267;7,5,
Õ268;5,0,
Õ269;10,0,
Õ270;10,0,
Õ271;7,5,
Õ272;10,0,
Õ273;5,0,
Õ274;5,0,
Õ275;2,5,
Õ276;7,5,
Õ277;7,5,
Õ278;10,0,
Õ279;5,0,
Õ280;10,0,
Õ281;5,0,
Õ282;7,5,
Õ283;2,5,
Õ284;10,0,
Õ285;7,5,
Õ286;5,0,
Õ287;5,0,
Õ288;7,5,
Õ289;7,5,
Õ290;2,5,
Õ291;5,0,
Õ292;7,5,
Õ293;7,5,
Õ294;2,5,
Õ295;5,0,
Õ296;2,5,
Õ297;7,5,
Õ298;2,5,
Õ299;5,0,
Õ300;10,0,
Õ301;7,5,
Õ302;10,0,
Õ303;2,5,
Õ304;7,5,
Õ305;7,5,
Õ306;5,0,
Õ307;5,0,
Õ308;5,0,
Õ309;7,5,
Õ310;10,0,
Õ311;7,5,
Õ312;5,0,
Õ313;7,5,
Õ314;7,5,
Õ315;5,0,
Õ316;5,0,
Õ317;7,5,
Õ318;5,0,
Õ319;5,0,
Õ320;5,0,
Õ321;7,5,
Õ322;7,5,
Õ323;10,0,
Õ324;5,0,
Õ325;10,0,
Õ326;10,0,
Õ327;7,5,
Õ328;2,5,
Õ329;7,5,
Õ330;7,5,
Õ331;7,5,
Õ332;5,0,
Õ333;7,5,
Õ334;5,0,
Õ335;7,5,
Õ336;7,5,
Õ337;0,,
Õ338;10,0,
Õ339;10,0,
Õ340;5,0,
Õ341;5,0,
Õ342;10,0,
Õ343;5,0,
Õ344;5,0,
Õ345;7,5,
Õ346;10,0,
Õ347;10,0,
Õ348;7,5,
Õ349;2,5,
Õ350;7,5,
Õ351;7,5,
Õ352;10,0,
Õ353;5,0,
Õ354;5,0,
Õ355;10,0,
Õ356;7,5,
